merchant_id,business_name,industry,industry_risk_weight,business_type,business_age_days,monthly_revenue,chargeback_rate,country,region,has_website,has_social_media,onboarding_date,is_fraud,fraud_type,risk_score_x,risk_score_y,decision,risk_factors
MERCH_00000062,Global Digital Inc,Digital Goods,1.8,Sole Proprietorship,141,5000.0,0.0348,US,West,False,True,2025-09-25 04:06:30.147361,False,,,48.82,REVIEW,Elevated chargeback rate: 3.48%; No website presence
MERCH_00000063,Elite Mart Services,Retail,1.0,Corporation,45,500000.0,0.0,US,Northeast,True,True,2025-12-30 04:06:30.147506,False,,,21.45,APPROVE,New business: 45 days
MERCH_00000064,Advanced Market,Retail,1.0,Sole Proprietorship,30,103968.62,0.0416,US,West,True,True,2026-01-14 04:06:30.147647,False,,,40.2,REVIEW,New business: 30 days; Elevated chargeback rate: 4.16%
MERCH_00000065,Advanced Voyages Solutions,Travel,1.5,LLC,399,5000.0,0.0172,US,Northeast,True,False,2025-01-10 04:06:30.147793,False,,,33.96,REVIEW,
MERCH_00000066,Pro Support Co,Services,1.1,Partnership,254,81647.73,0.0056,US,West,True,True,2025-06-04 04:06:30.147938,False,,,21.4,APPROVE,
MERCH_00000067,Consulting Group,Services,1.1,Corporation,66,49053.27,0.0311,FR,International,True,True,2025-12-09 04:06:30.148064,False,,,41.65,REVIEW,New business: 66 days; Elevated chargeback rate: 3.11%
MERCH_00000068,Care Co,Services,1.1,Sole Proprietorship,30,481391.07,0.018,CA,Ontario,True,True,2026-01-14 04:06:30.148199,False,,,32.9,REVIEW,New business: 30 days
MERCH_00000069,Elite Dining Corp,Food & Beverage,0.9,Sole Proprietorship,283,5000.0,0.0023,US,Southeast,True,True,2025-05-06 04:06:30.148344,False,,,19.5,APPROVE,
MERCH_00000070,Mart Solutions,Retail,1.0,Partnership,872,5000.0,0.0399,US,Southeast,True,True,2023-09-25 04:06:30.148478,False,,,32.95,REVIEW,Elevated chargeback rate: 3.99%
MERCH_00000071,Shop Solutions,Retail,1.0,Partnership,750,58916.15,0.0245,US,West,True,True,2024-01-25 04:06:30.148613,False,,,27.95,APPROVE,Elevated chargeback rate: 2.45%
MERCH_00000072,Pro Web Co,E-commerce,1.3,Corporation,486,11331.83,0.0075,US,Southeast,True,False,2024-10-15 04:06:30.148757,False,,,27.06,APPROVE,
MERCH_00000073,First Advisory Ltd,Services,1.1,LLC,174,15138.91,0.0232,US,West,True,True,2025-08-23 04:06:30.148914,False,,,40.65,REVIEW,Elevated chargeback rate: 2.32%
MERCH_00000074,Web LLC,E-commerce,1.3,LLC,488,5248.15,0.0048,US,Northeast,True,False,2024-10-13 04:06:30.149051,False,,,22.06,APPROVE,
MERCH_00000075,Mart Co,Retail,1.0,LLC,87,97526.22,0.0103,US,Southwest,True,False,2025-11-18 04:06:30.149188,False,,,32.45,REVIEW,New business: 87 days
MERCH_00000076,Mart LLC,Retail,1.0,LLC,505,67299.32,0.0071,US,West,True,False,2024-09-26 04:06:30.149325,False,,,19.2,APPROVE,
MERCH_00000077,Pro Support Co,Services,1.1,LLC,273,5002.84,0.0659,FR,International,True,True,2025-05-16 04:06:30.149462,False,,,44.15,REVIEW,Elevated chargeback rate: 6.59%
MERCH_00000078,Web Co,E-commerce,1.3,Corporation,831,417576.83,0.0125,US,Southwest,False,True,2023-11-05 04:06:30.149597,False,,,26.06,APPROVE,No website presence
MERCH_00000079,First Store,Retail,1.0,LLC,257,5000.0,0.0302,US,Midwest,True,True,2025-06-01 04:06:30.149735,False,,,36.7,REVIEW,Elevated chargeback rate: 3.02%
MERCH_00000080,Advanced Gaming,Gambling,2.5,Sole Proprietorship,1054,33059.49,0.0,US,Southeast,True,True,2023-03-27 04:06:30.149869,False,,,25.99,APPROVE,High-risk industry: Gambling
MERCH_00000081,Kitchen Services,Food & Beverage,0.9,LLC,199,7766.12,0.0,US,Midwest,True,True,2025-07-29 04:06:30.150004,False,,,19.5,APPROVE,
MERCH_00000082,Global Digital Solutions,Digital Goods,1.8,LLC,90,64177.05,0.0,US,Northeast,True,False,2025-11-15 04:06:30.150149,False,,,27.07,APPROVE,
MERCH_00000083,Superior Mart,Retail,1.0,Sole Proprietorship,657,51401.84,0.017,Other,International,True,False,2024-04-27 04:06:30.150276,False,,,28.2,APPROVE,
MERCH_00000084,Elite Online,E-commerce,1.3,Sole Proprietorship,294,234101.89,0.0195,GB,International,True,True,2025-04-25 04:06:30.150403,False,,,29.31,APPROVE,
MERCH_00000085,Prime Consulting Inc,Services,1.1,Sole Proprietorship,399,5000.0,0.0,US,Southeast,True,True,2025-01-10 04:06:30.150548,False,,,19.15,APPROVE,
MERCH_00000086,Smart Journeys,Travel,1.5,Partnership,209,70651.11,0.0186,Other,International,True,False,2025-07-19 04:06:30.150674,False,,,36.71,REVIEW,
MERCH_00000087,Advanced Digital Solutions,E-commerce,1.3,LLC,283,76505.31,0.0044,GB,International,True,True,2025-05-06 04:06:30.150811,False,,,19.31,APPROVE,
MERCH_00000088,Prime Cyber,E-commerce,1.3,Corporation,194,158221.81,0.042,US,Midwest,True,True,2025-08-03 04:06:30.150948,False,,,36.06,REVIEW,Elevated chargeback rate: 4.20%
MERCH_00000089,Pro Virtual LLC,E-commerce,1.3,LLC,251,92072.6717341559,0.0672,US,Southwest,False,False,2026-01-09 04:06:30.151094,True,bustout,,44.56,REVIEW,Elevated chargeback rate: 6.72%; No website presence
MERCH_00000090,Consulting Ltd,Services,1.1,Sole Proprietorship,1438,74634.18,0.0247,US,Southeast,True,True,2022-03-08 04:06:30.151229,False,,,28.9,APPROVE,Elevated chargeback rate: 2.47%
MERCH_00000091,Pro Cafe Ltd,Food & Beverage,0.9,Sole Proprietorship,233,16653.37,0.0028,US,Northeast,True,True,2025-06-25 04:06:30.151376,False,,,19.5,APPROVE,
MERCH_00000092,Bistro Ltd,Food & Beverage,0.9,LLC,269,377589.14,0.0359,US,Midwest,True,False,2025-05-20 04:06:30.151512,False,,,35.75,REVIEW,Elevated chargeback rate: 3.59%
MERCH_00000093,First Online Ltd,E-commerce,1.3,LLC,310,65049.9,0.0378,GB,International,True,False,2025-04-09 04:06:30.151649,False,,,36.56,REVIEW,Elevated chargeback rate: 3.78%
MERCH_00000094,Cafe Ltd,Food & Beverage,0.9,Sole Proprietorship,1693,130761.99,0.0066,US,Southwest,True,True,2021-06-26 04:06:30.151784,False,,,15.75,APPROVE,
MERCH_00000095,First Virtual,E-commerce,1.3,Sole Proprietorship,35,76898.31,0.0,US,Northeast,True,True,2026-01-09 04:06:30.151920,False,,,24.31,APPROVE,New business: 35 days
MERCH_00000096,Elite Goods LLC,Retail,1.0,LLC,30,47465.15,0.0147,US,Northeast,True,False,2026-01-14 04:06:30.152071,False,,,33.95,REVIEW,New business: 30 days
MERCH_00000097,Pro Block Inc,Cryptocurrency,3.0,Sole Proprietorship,786,174049.05,0.0142,Other,International,False,True,2023-12-20 04:06:30.152207,False,,,46.25,REVIEW,High-risk industry: Cryptocurrency; No website presence
MERCH_00000098,Pro Journeys Solutions,Travel,1.5,Partnership,46,41252.25,0.0,US,Northeast,False,False,2025-12-29 04:06:30.152351,False,,,32.71,REVIEW,New business: 46 days; No website presence
MERCH_00000099,Smart Software,Digital Goods,1.8,LLC,1927,28557.63,0.0,US,Southeast,True,False,2020-11-04 04:06:30.152488,False,,,25.32,APPROVE,
MERCH_00000100,Prime Kitchen Ltd,Food & Beverage,0.9,Sole Proprietorship,328,14180.36,0.0133,US,Midwest,True,True,2025-03-22 04:06:30.152633,False,,,29.5,APPROVE,
MERCH_00000101,Superior Care,Services,1.1,Sole Proprietorship,292,38344.16,0.0,CA,Quebec,True,True,2025-04-27 04:06:30.152768,False,,,16.9,APPROVE,
MERCH_00000102,Smart Support Inc,Services,1.1,LLC,30,48783.33,0.0338,FR,International,False,True,2026-01-14 04:06:30.152910,False,,,43.15,REVIEW,New business: 30 days; Elevated chargeback rate: 3.38%; No website presence
MERCH_00000103,Advanced Online,E-commerce,1.3,Sole Proprietorship,769,121268.28,0.0322,FR,International,True,True,2024-01-06 04:06:30.153045,False,,,32.31,REVIEW,Elevated chargeback rate: 3.22%
MERCH_00000104,Advanced Shop Corp,Retail,1.0,LLC,438,66973.85,0.0068,US,Southeast,False,True,2024-12-02 04:06:30.153192,False,,,21.2,APPROVE,No website presence
MERCH_00000105,Smart Dining Group,Food & Beverage,0.9,Partnership,515,15469.64,0.0,US,Midwest,True,True,2024-09-16 04:06:30.153337,False,,,17.25,APPROVE,
MERCH_00000106,Superior Goods,Retail,1.0,LLC,121,46636.92,0.0034,Other,International,True,False,2025-10-15 04:06:30.153488,False,,,23.45,APPROVE,
MERCH_00000107,Prime Advisory,Services,1.1,LLC,30,250252.56,0.0,US,Northeast,True,True,2026-01-14 04:06:30.153627,False,,,22.4,APPROVE,New business: 30 days
MERCH_00000108,Elite Wager Ltd,Gambling,2.5,Sole Proprietorship,1266,21620.46,0.0175,CA,BC,False,True,2022-08-27 04:06:30.153774,False,,,37.99,REVIEW,High-risk industry: Gambling; No website presence
MERCH_00000109,Elite Web,E-commerce,1.3,Sole Proprietorship,116,7902.81,0.0064,US,West,False,False,2025-10-20 04:06:30.153911,False,,,33.81,REVIEW,No website presence
MERCH_00000110,Smart Tech Services,Digital Goods,1.8,Corporation,1205,5000.0,0.0,US,Southwest,True,True,2022-10-27 04:06:30.154061,False,,,24.32,APPROVE,
MERCH_00000111,Advanced Tech,Digital Goods,1.8,Corporation,233,83605.64,0.0191,CA,BC,True,True,2025-06-25 04:06:30.154198,False,,,33.57,REVIEW,
MERCH_00000112,Global Tech,Digital Goods,1.8,Sole Proprietorship,349,43703.12,0.0388,CA,BC,True,True,2025-03-01 04:06:30.154333,False,,,39.82,REVIEW,Elevated chargeback rate: 3.88%
MERCH_00000113,Store Inc,Retail,1.0,Sole Proprietorship,318,176441.32,0.0,US,West,True,True,2025-04-01 04:06:30.154469,False,,,15.45,APPROVE,
MERCH_00000114,Voyages Corp,Travel,1.5,Sole Proprietorship,1113,73627.49,0.0194,US,Northeast,False,True,2023-01-27 04:06:30.154611,False,,,27.96,APPROVE,No website presence
MERCH_00000115,Pro Advisory,Services,1.1,Sole Proprietorship,299,13430.73,0.0108,CA,Quebec,True,True,2025-04-20 04:06:30.154747,False,,,31.9,REVIEW,
MERCH_00000116,Pro Care Solutions,Services,1.1,Sole Proprietorship,588,23851.06,0.0011,US,Midwest,False,True,2024-07-05 04:06:30.154987,False,,,20.65,APPROVE,No website presence
MERCH_00000117,Advisory Services,Services,1.1,LLC,747,191485.64,0.0227,US,Midwest,True,True,2024-01-28 04:06:30.155292,False,,,31.4,REVIEW,Elevated chargeback rate: 2.27%
MERCH_00000118,Prime Eats Ltd,Food & Beverage,0.9,Sole Proprietorship,30,35843.22,0.0,GB,International,True,True,2026-01-14 04:06:30.155590,False,,,21.5,APPROVE,New business: 30 days
MERCH_00000119,Kitchen Group,Food & Beverage,0.9,Sole Proprietorship,497,37823.79,0.0309,US,Midwest,True,True,2024-10-04 04:06:30.155850,False,,,28.5,APPROVE,Elevated chargeback rate: 3.09%
MERCH_00000120,Care Corp,Services,1.1,Corporation,81,23538.55,0.0142,US,Northeast,True,False,2025-11-24 04:06:30.156137,False,,,38.4,REVIEW,New business: 81 days
MERCH_00000121,Care Services,Services,1.1,LLC,485,52191.42,0.0416,US,Northeast,True,True,2024-10-16 04:06:30.156377,False,,,34.4,REVIEW,Elevated chargeback rate: 4.16%
MERCH_00000122,Superior Bistro Corp,Food & Beverage,0.9,LLC,574,13193.27,0.0,US,West,False,True,2024-07-19 04:06:30.156631,False,,,18.75,APPROVE,No website presence
MERCH_00000123,Pro Digital Group,E-commerce,1.3,LLC,262,17400.11,0.0072,US,Southwest,True,True,2025-05-27 04:06:30.156792,False,,,28.31,APPROVE,
MERCH_00000124,Online Inc,E-commerce,1.3,Sole Proprietorship,185,500000.0,0.0408,US,West,True,False,2025-08-12 04:06:30.156932,False,,,35.56,REVIEW,Elevated chargeback rate: 4.08%
MERCH_00000125,Advanced Virtual,E-commerce,1.3,Corporation,644,5000.0,0.0014,US,Southwest,True,True,2024-05-10 04:06:30.157070,False,,,21.06,APPROVE,
MERCH_00000126,Pro Dining,Food & Beverage,0.9,Sole Proprietorship,555,24790.33,0.0458,CA,Quebec,True,True,2024-08-07 04:06:30.157213,False,,,34.0,REVIEW,Elevated chargeback rate: 4.58%
MERCH_00000127,Apps Co,Digital Goods,1.8,Sole Proprietorship,30,41085.24,0.0,US,West,True,True,2026-01-14 04:06:30.157353,False,,,30.57,REVIEW,New business: 30 days
MERCH_00000128,Superior Care,Services,1.1,LLC,30,5000.0,0.0201,US,Southeast,True,True,2026-01-14 04:06:30.157489,False,,,43.65,REVIEW,New business: 30 days; Elevated chargeback rate: 2.01%
MERCH_00000129,Pro Digital Services,Digital Goods,1.8,LLC,481,27671.15,0.0015,US,West,False,True,2024-10-20 04:06:30.157636,False,,,22.32,APPROVE,No website presence
MERCH_00000130,Elite Virtual Co,E-commerce,1.3,Sole Proprietorship,30,136281.85,0.0,US,Northeast,False,True,2026-01-14 04:06:30.157785,False,,,25.81,APPROVE,New business: 30 days; No website presence
MERCH_00000131,Advisory Corp,Services,1.1,LLC,41,225819.69,0.005,CA,Ontario,True,False,2026-01-03 04:06:30.157923,False,,,30.4,REVIEW,New business: 41 days
MERCH_00000132,Advanced Support Solutions,Services,1.1,Corporation,602,147558.16,0.0227,GB,International,True,True,2024-06-21 04:06:30.158062,False,,,31.4,REVIEW,Elevated chargeback rate: 2.27%
MERCH_00000133,Elite Web,E-commerce,1.3,LLC,184,13253.71,0.0411,DE,International,True,True,2025-08-13 04:06:30.158189,False,,,40.56,REVIEW,Elevated chargeback rate: 4.11%
MERCH_00000134,Prime Mart,Retail,1.0,Corporation,375,50209.11,0.0424,GB,International,True,True,2025-02-03 04:06:30.158315,False,,,30.45,REVIEW,Elevated chargeback rate: 4.24%
MERCH_00000135,Advanced Virtual Ltd,E-commerce,1.3,Corporation,185,231800.86,0.0588,US,Midwest,False,False,2025-08-12 04:06:30.158462,False,,,42.06,REVIEW,Elevated chargeback rate: 5.88%; No website presence
MERCH_00000136,Advanced Cyber LLC,E-commerce,1.3,LLC,828,8431.52,0.0406,US,West,True,True,2023-11-08 04:06:30.158610,False,,,35.81,REVIEW,Elevated chargeback rate: 4.06%
MERCH_00000137,Cyber Services,E-commerce,1.3,LLC,593,5000.0,0.0179,US,Southeast,False,False,2024-06-30 04:06:30.158747,False,,,33.56,REVIEW,No website presence
MERCH_00000138,Superior Destinations Inc,Travel,1.5,Partnership,74,207562.6,0.0,US,Southeast,True,True,2025-12-01 04:06:30.158895,False,,,26.21,APPROVE,New business: 74 days
MERCH_00000139,Global Consulting,Services,1.1,LLC,1103,305287.24,0.0177,GB,International,True,True,2023-02-06 04:06:30.159023,False,,,23.65,APPROVE,
MERCH_00000140,Elite Tech Services,Digital Goods,1.8,Corporation,536,5000.0,0.0175,US,Southeast,False,True,2024-08-26 04:06:30.159169,False,,,37.32,REVIEW,No website presence
MERCH_00000141,Eats Corp,Food & Beverage,0.9,LLC,322,109789.74,0.0,Other,International,True,True,2025-03-28 04:06:30.159298,False,,,18.5,APPROVE,
MERCH_00000142,Market Ltd,Retail,1.0,Partnership,370,150413.69,0.0,US,Northeast,True,True,2025-02-08 04:06:30.159434,False,,,13.2,APPROVE,
MERCH_00000143,Advanced Consulting,Services,1.1,LLC,30,238874.01,0.0,US,Southeast,False,False,2026-01-14 04:06:30.159569,False,,,24.9,APPROVE,New business: 30 days; No website presence
