merchant_id,risk_score,decision,industry_risk,business_age_risk,chargeback_risk,velocity_risk,geographic_risk,pattern_risk,risk_factors,scored_at
MERCH_00000029,38.15,REVIEW,9.523809523809526,40,75,20,25,50,Elevated chargeback rate: 4.69%,2026-02-13 04:09:38.753149
MERCH_00000030,31.95,REVIEW,4.761904761904761,25,75,20,45,0,Elevated chargeback rate: 4.74%; No website presence,2026-02-13 04:09:38.801145
MERCH_00000031,32.95,REVIEW,4.761904761904761,15,75,20,20,50,Elevated chargeback rate: 2.05%,2026-02-13 04:09:38.846442
MERCH_00000032,42.07,REVIEW,42.857142857142854,25,75,20,45,25,Elevated chargeback rate: 3.07%; No website presence,2026-02-13 04:09:38.899441
MERCH_00000033,42.82,REVIEW,42.857142857142854,40,75,20,30,25,Elevated chargeback rate: 4.26%,2026-02-13 04:09:38.952699
MERCH_00000034,33.65,REVIEW,9.523809523809526,40,75,20,30,0,Elevated chargeback rate: 2.16%,2026-02-13 04:09:39.006729
MERCH_00000035,30.95,REVIEW,4.761904761904761,60,50,20,45,0,,2026-02-13 04:09:39.055888
MERCH_00000036,13.75,APPROVE,0.0,25,10,20,35,0,No website presence,2026-02-13 04:09:39.089396
MERCH_00000037,25.5,APPROVE,0.0,80,10,20,45,25,New business: 31 days; No website presence,2026-02-13 04:09:39.130103
MERCH_00000038,36.49,REVIEW,76.19047619047619,15,50,20,25,0,High-risk industry: Gambling,2026-02-13 04:09:39.179143
MERCH_00000039,30.7,REVIEW,4.761904761904761,25,50,20,45,50,No website presence,2026-02-13 04:09:39.232675
MERCH_00000040,37.75,REVIEW,0.0,60,75,20,20,40,Elevated chargeback rate: 4.72%,2026-02-13 04:09:39.283937
MERCH_00000041,28.5,APPROVE,0.0,25,75,20,20,0,Elevated chargeback rate: 2.07%,2026-02-13 04:09:39.336845
MERCH_00000042,37.75,REVIEW,0.0,40,75,20,40,50,Elevated chargeback rate: 2.20%; No website presence,2026-02-13 04:09:39.384261
MERCH_00000043,15.65,APPROVE,9.523809523809526,25,10,20,35,0,No website presence,2026-02-13 04:09:39.428624
MERCH_00000044,45.56,REVIEW,19.047619047619047,80,75,20,20,50,New business: 67 days; Elevated chargeback rate: 4.18%,2026-02-13 04:09:39.464815
MERCH_00000045,33.56,REVIEW,19.047619047619047,25,50,20,45,50,No website presence,2026-02-13 04:09:39.502973
MERCH_00000046,23.07,APPROVE,42.857142857142854,40,10,20,20,0,,2026-02-13 04:09:39.552903
MERCH_00000047,25.46,APPROVE,28.57142857142857,25,10,20,45,50,No website presence,2026-02-13 04:09:39.602195
MERCH_00000048,30.5,REVIEW,0.0,25,75,20,40,0,Elevated chargeback rate: 3.71%,2026-02-13 04:09:39.649134
MERCH_00000049,33.71,REVIEW,28.57142857142857,80,10,20,45,50,New business: 30 days; No website presence,2026-02-13 04:09:39.694749
MERCH_00000050,16.0,APPROVE,0.0,40,10,20,35,0,No website presence,2026-02-13 04:09:39.744870
MERCH_00000051,39.56,REVIEW,19.047619047619047,40,75,20,20,50,Elevated chargeback rate: 2.44%,2026-02-13 04:09:39.794786
MERCH_00000052,13.75,APPROVE,0.0,25,10,20,20,15,,2026-02-13 04:09:39.842265
MERCH_00000053,54.39,REVIEW,35.71428571428572,80,95,20,35,40,New business: 72 days; Elevated chargeback rate: 6.53%,2026-02-13 04:09:39.894739
MERCH_00000054,26.71,APPROVE,28.57142857142857,60,10,20,30,25,,2026-02-13 04:09:39.941780
MERCH_00000055,42.75,REVIEW,0.0,80,75,20,30,50,New business: 43 days; Elevated chargeback rate: 2.16%,2026-02-13 04:09:39.993090
MERCH_00000056,11.25,APPROVE,0.0,15,10,20,25,0,,2026-02-13 04:09:40.048157
MERCH_00000057,20.5,APPROVE,0.0,80,10,20,20,0,New business: 41 days,2026-02-13 04:09:40.098389
MERCH_00000058,27.95,APPROVE,4.761904761904761,15,75,20,20,0,Elevated chargeback rate: 2.76%,2026-02-13 04:09:40.149572
MERCH_00000059,22.45,APPROVE,4.761904761904761,60,10,20,60,0,,2026-02-13 04:09:40.199500
MERCH_00000060,31.31,REVIEW,19.047619047619047,40,50,20,35,15,,2026-02-13 04:09:40.251641
MERCH_00000061,34.5,REVIEW,0.0,25,75,20,30,50,Elevated chargeback rate: 2.28%,2026-02-13 04:09:40.301653
MERCH_00000062,48.82,REVIEW,42.857142857142854,60,75,20,35,50,Elevated chargeback rate: 3.48%; No website presence,2026-02-13 04:09:40.348685
MERCH_00000063,21.45,APPROVE,4.761904761904761,80,10,20,20,0,New business: 45 days,2026-02-13 04:09:40.400875
MERCH_00000064,40.2,REVIEW,4.761904761904761,80,75,20,20,25,New business: 30 days; Elevated chargeback rate: 4.16%,2026-02-13 04:09:40.454120
MERCH_00000065,33.96,REVIEW,28.57142857142857,25,50,20,30,50,,2026-02-13 04:09:40.504938
MERCH_00000066,21.4,APPROVE,9.523809523809526,40,30,20,20,0,,2026-02-13 04:09:40.557657
MERCH_00000067,41.65,REVIEW,9.523809523809526,80,75,20,35,15,New business: 66 days; Elevated chargeback rate: 3.11%,2026-02-13 04:09:40.610302
MERCH_00000068,32.9,REVIEW,9.523809523809526,80,50,20,25,0,New business: 30 days,2026-02-13 04:09:40.660960
MERCH_00000069,19.5,APPROVE,0.0,40,10,20,20,50,,2026-02-13 04:09:40.712175
MERCH_00000070,32.95,REVIEW,4.761904761904761,15,75,20,20,50,Elevated chargeback rate: 3.99%,2026-02-13 04:09:40.763011
MERCH_00000071,27.95,APPROVE,4.761904761904761,15,75,20,20,0,Elevated chargeback rate: 2.45%,2026-02-13 04:09:40.813591
MERCH_00000072,27.06,APPROVE,19.047619047619047,25,30,20,30,50,,2026-02-13 04:09:40.861281
MERCH_00000073,40.65,REVIEW,9.523809523809526,60,75,20,20,50,Elevated chargeback rate: 2.32%,2026-02-13 04:09:40.914830
MERCH_00000074,22.06,APPROVE,19.047619047619047,25,10,20,30,50,,2026-02-13 04:09:40.965681
MERCH_00000075,32.45,REVIEW,4.761904761904761,80,50,20,30,0,New business: 87 days,2026-02-13 04:09:41.016034
MERCH_00000076,19.2,APPROVE,4.761904761904761,25,30,20,30,0,,2026-02-13 04:09:41.064344
MERCH_00000077,44.15,REVIEW,9.523809523809526,40,95,20,35,50,Elevated chargeback rate: 6.59%,2026-02-13 04:09:41.100405
MERCH_00000078,26.06,APPROVE,19.047619047619047,15,50,20,35,0,No website presence,2026-02-13 04:09:41.152711
MERCH_00000079,36.7,REVIEW,4.761904761904761,40,75,20,20,50,Elevated chargeback rate: 3.02%,2026-02-13 04:09:41.201383
MERCH_00000080,25.99,APPROVE,76.19047619047619,15,10,20,20,0,High-risk industry: Gambling,2026-02-13 04:09:41.255842
MERCH_00000081,19.5,APPROVE,0.0,40,10,20,20,50,,2026-02-13 04:09:41.308249
MERCH_00000082,27.07,APPROVE,42.857142857142854,60,10,20,30,0,,2026-02-13 04:09:41.358418
MERCH_00000083,28.2,APPROVE,4.761904761904761,25,50,20,70,0,,2026-02-13 04:09:41.397737
MERCH_00000084,29.31,APPROVE,19.047619047619047,40,50,20,30,0,,2026-02-13 04:09:41.446163
MERCH_00000085,19.15,APPROVE,9.523809523809526,25,10,20,20,50,,2026-02-13 04:09:41.493441
MERCH_00000086,36.71,REVIEW,28.57142857142857,40,50,20,70,15,,2026-02-13 04:09:41.543214
MERCH_00000087,19.31,APPROVE,19.047619047619047,40,10,20,30,0,,2026-02-13 04:09:41.590896
MERCH_00000088,36.06,REVIEW,19.047619047619047,40,75,20,20,15,Elevated chargeback rate: 4.20%,2026-02-13 04:09:41.642911
MERCH_00000089,44.56,REVIEW,19.047619047619047,40,95,20,45,25,Elevated chargeback rate: 6.72%; No website presence,2026-02-13 04:09:41.691781
MERCH_00000090,28.9,APPROVE,9.523809523809526,15,75,20,20,0,Elevated chargeback rate: 2.47%,2026-02-13 04:09:41.740922
MERCH_00000091,19.5,APPROVE,0.0,40,10,20,20,50,,2026-02-13 04:09:41.789435
MERCH_00000092,35.75,REVIEW,0.0,40,75,20,30,40,Elevated chargeback rate: 3.59%,2026-02-13 04:09:41.830599
MERCH_00000093,36.56,REVIEW,19.047619047619047,40,75,20,40,0,Elevated chargeback rate: 3.78%,2026-02-13 04:09:41.879368
MERCH_00000094,15.75,APPROVE,0.0,15,30,20,20,0,,2026-02-13 04:09:41.928596
MERCH_00000095,24.31,APPROVE,19.047619047619047,80,10,20,20,0,New business: 35 days,2026-02-13 04:09:41.974156
MERCH_00000096,33.95,REVIEW,4.761904761904761,80,50,20,30,15,New business: 30 days,2026-02-13 04:09:42.020071
MERCH_00000097,46.25,REVIEW,100.0,15,50,20,75,0,High-risk industry: Cryptocurrency; No website presence,2026-02-13 04:09:42.062651
MERCH_00000098,32.71,REVIEW,28.57142857142857,80,10,20,45,40,New business: 46 days; No website presence,2026-02-13 04:09:42.105184
MERCH_00000099,25.32,APPROVE,42.857142857142854,15,10,20,30,50,,2026-02-13 04:09:42.153706
MERCH_00000100,29.5,APPROVE,0.0,40,50,20,20,50,,2026-02-13 04:09:42.198922
MERCH_00000101,16.9,APPROVE,9.523809523809526,40,10,20,25,0,,2026-02-13 04:09:42.246780
MERCH_00000102,43.15,REVIEW,9.523809523809526,80,75,20,50,15,New business: 30 days; Elevated chargeback rate: 3.38%; No website presence,2026-02-13 04:09:42.296398
MERCH_00000103,32.31,REVIEW,19.047619047619047,15,75,20,35,0,Elevated chargeback rate: 3.22%,2026-02-13 04:09:42.352309
MERCH_00000104,21.2,APPROVE,4.761904761904761,25,30,20,35,15,No website presence,2026-02-13 04:09:42.404517
MERCH_00000105,17.25,APPROVE,0.0,25,10,20,20,50,,2026-02-13 04:09:42.455945
MERCH_00000106,23.45,APPROVE,4.761904761904761,60,10,20,70,0,,2026-02-13 04:09:42.506114
MERCH_00000107,22.4,APPROVE,9.523809523809526,80,10,20,20,0,New business: 30 days,2026-02-13 04:09:42.554346
MERCH_00000108,37.99,REVIEW,76.19047619047619,15,50,20,40,0,High-risk industry: Gambling; No website presence,2026-02-13 04:09:42.604585
MERCH_00000109,33.81,REVIEW,19.047619047619047,60,30,20,45,50,No website presence,2026-02-13 04:09:42.654215
MERCH_00000110,24.32,APPROVE,42.857142857142854,15,10,20,20,50,,2026-02-13 04:09:42.700044
MERCH_00000111,33.57,REVIEW,42.857142857142854,40,50,20,25,0,,2026-02-13 04:09:42.751372
MERCH_00000112,39.82,REVIEW,42.857142857142854,40,75,20,25,0,Elevated chargeback rate: 3.88%,2026-02-13 04:09:42.803786
MERCH_00000113,15.45,APPROVE,4.761904761904761,40,10,20,20,0,,2026-02-13 04:09:42.855681
MERCH_00000114,27.96,APPROVE,28.57142857142857,15,50,20,35,0,No website presence,2026-02-13 04:09:42.909781
MERCH_00000115,31.9,REVIEW,9.523809523809526,40,50,20,25,50,,2026-02-13 04:09:42.960413
MERCH_00000116,20.65,APPROVE,9.523809523809526,25,10,20,35,50,No website presence,2026-02-13 04:09:43.012199
MERCH_00000117,31.4,REVIEW,9.523809523809526,15,75,20,20,25,Elevated chargeback rate: 2.27%,2026-02-13 04:09:43.057243
MERCH_00000118,21.5,APPROVE,0.0,80,10,20,30,0,New business: 30 days,2026-02-13 04:09:43.107712
MERCH_00000119,28.5,APPROVE,0.0,25,75,20,20,0,Elevated chargeback rate: 3.09%,2026-02-13 04:09:43.151073
MERCH_00000120,38.4,REVIEW,9.523809523809526,80,50,20,30,50,New business: 81 days,2026-02-13 04:09:43.198295
MERCH_00000121,34.4,REVIEW,9.523809523809526,25,75,20,20,40,Elevated chargeback rate: 4.16%,2026-02-13 04:09:43.250146
MERCH_00000122,18.75,APPROVE,0.0,25,10,20,35,50,No website presence,2026-02-13 04:09:43.298808
MERCH_00000123,28.31,APPROVE,19.047619047619047,40,30,20,20,50,,2026-02-13 04:09:43.345493
MERCH_00000124,35.56,REVIEW,19.047619047619047,40,75,20,30,0,Elevated chargeback rate: 4.08%,2026-02-13 04:09:43.385952
MERCH_00000125,21.06,APPROVE,19.047619047619047,25,10,20,20,50,,2026-02-13 04:09:43.433258
MERCH_00000126,34.0,REVIEW,0.0,25,75,20,25,50,Elevated chargeback rate: 4.58%,2026-02-13 04:09:43.484232
MERCH_00000127,30.57,REVIEW,42.857142857142854,80,10,20,20,15,New business: 30 days,2026-02-13 04:09:43.527724
MERCH_00000128,43.65,REVIEW,9.523809523809526,80,75,20,20,50,New business: 30 days; Elevated chargeback rate: 2.01%,2026-02-13 04:09:43.571800
MERCH_00000129,22.32,APPROVE,42.857142857142854,25,10,20,35,0,No website presence,2026-02-13 04:09:43.621208
MERCH_00000130,25.81,APPROVE,19.047619047619047,80,10,20,35,0,New business: 30 days; No website presence,2026-02-13 04:09:43.672041
MERCH_00000131,30.4,REVIEW,9.523809523809526,80,30,20,35,15,New business: 41 days,2026-02-13 04:09:43.726089
MERCH_00000132,31.4,REVIEW,9.523809523809526,25,75,20,30,0,Elevated chargeback rate: 2.27%,2026-02-13 04:09:43.774728
MERCH_00000133,40.56,REVIEW,19.047619047619047,40,75,20,30,50,Elevated chargeback rate: 4.11%,2026-02-13 04:09:43.813118
MERCH_00000134,30.45,REVIEW,4.761904761904761,25,75,20,30,0,Elevated chargeback rate: 4.24%,2026-02-13 04:09:43.859882
MERCH_00000135,42.06,REVIEW,19.047619047619047,40,95,20,45,0,Elevated chargeback rate: 5.88%; No website presence,2026-02-13 04:09:43.911884
MERCH_00000136,35.81,REVIEW,19.047619047619047,15,75,20,20,50,Elevated chargeback rate: 4.06%,2026-02-13 04:09:43.964509
MERCH_00000137,33.56,REVIEW,19.047619047619047,25,50,20,45,50,No website presence,2026-02-13 04:09:44.013599
MERCH_00000138,26.21,APPROVE,28.57142857142857,80,10,20,20,0,New business: 74 days,2026-02-13 04:09:44.063977
MERCH_00000139,23.65,APPROVE,9.523809523809526,15,50,20,30,0,,2026-02-13 04:09:44.113888
MERCH_00000140,37.32,REVIEW,42.857142857142854,25,50,20,35,50,No website presence,2026-02-13 04:09:44.164103
MERCH_00000141,18.5,APPROVE,0.0,40,10,20,60,0,,2026-02-13 04:09:44.209649
MERCH_00000142,13.2,APPROVE,4.761904761904761,25,10,20,20,0,,2026-02-13 04:09:44.248907
MERCH_00000143,24.9,APPROVE,9.523809523809526,80,10,20,45,0,New business: 30 days; No website presence,2026-02-13 04:09:44.299978
MERCH_00000144,20.5,APPROVE,0.0,40,10,20,30,50,,2026-02-13 04:09:44.348170
MERCH_00000145,30.4,REVIEW,9.523809523809526,60,30,20,30,50,,2026-02-13 04:09:44.397885
MERCH_00000146,11.75,APPROVE,0.0,15,10,20,30,0,,2026-02-13 04:09:44.452481
MERCH_00000147,17.46,APPROVE,28.57142857142857,15,10,20,30,0,,2026-02-13 04:09:44.503100
MERCH_00000148,18.2,APPROVE,4.761904761904761,25,30,20,20,0,,2026-02-13 04:09:44.553902
MERCH_00000149,33.95,REVIEW,4.761904761904761,15,75,20,30,50,Elevated chargeback rate: 2.02%,2026-02-13 04:09:44.605213
MERCH_00000150,28.0,APPROVE,50.000000000000014,40,10,20,30,25,,2026-02-13 04:09:44.654645
MERCH_00000151,33.21,REVIEW,28.57142857142857,60,50,20,20,0,,2026-02-13 04:09:44.705523
MERCH_00000152,38.21,REVIEW,28.57142857142857,60,50,20,20,50,,2026-02-13 04:09:44.758669
MERCH_00000153,28.31,APPROVE,19.047619047619047,40,30,20,20,50,,2026-02-13 04:09:44.805021
MERCH_00000154,26.45,APPROVE,4.761904761904761,80,30,20,20,0,New business: 86 days,2026-02-13 04:09:44.855971
MERCH_00000155,32.4,REVIEW,9.523809523809526,80,50,20,20,0,New business: 30 days,2026-02-13 04:09:44.904679
MERCH_00000156,24.2,APPROVE,4.761904761904761,15,30,20,45,50,No website presence,2026-02-13 04:09:44.950640
MERCH_00000157,20.5,APPROVE,0.0,80,10,20,20,0,New business: 30 days,2026-02-13 04:09:44.997386
MERCH_00000158,19.95,APPROVE,4.761904761904761,60,10,20,20,15,,2026-02-13 04:09:45.047488
MERCH_00000159,25.0,APPROVE,0.0,60,10,20,45,50,No website presence,2026-02-13 04:09:45.091886
MERCH_00000160,39.56,REVIEW,19.047619047619047,60,75,20,40,0,Elevated chargeback rate: 2.84%; No website presence,2026-02-13 04:09:45.140812
MERCH_00000161,23.2,APPROVE,4.761904761904761,15,30,20,35,50,,2026-02-13 04:09:45.185501
MERCH_00000162,22.5,APPROVE,0.0,60,30,20,20,0,,2026-02-13 04:09:45.237182
MERCH_00000163,37.7,REVIEW,4.761904761904761,80,75,20,20,0,New business: 31 days; Elevated chargeback rate: 3.62%,2026-02-13 04:09:45.281512
MERCH_00000164,11.75,APPROVE,0.0,15,10,20,30,0,,2026-02-13 04:09:45.331934
MERCH_00000165,25.45,APPROVE,4.761904761904761,60,10,20,40,50,,2026-02-13 04:09:45.383674
MERCH_00000166,32.25,REVIEW,100.0,25,10,20,20,0,High-risk industry: Cryptocurrency,2026-02-13 04:09:45.437043
MERCH_00000167,18.96,APPROVE,28.57142857142857,25,10,20,30,0,,2026-02-13 04:09:45.489041
MERCH_00000168,36.71,REVIEW,28.57142857142857,80,50,20,25,0,New business: 87 days,2026-02-13 04:09:45.541309
MERCH_00000169,48.65,REVIEW,9.523809523809526,80,95,20,45,25,New business: 46 days; Elevated chargeback rate: 9.40%; No website presence,2026-02-13 04:09:45.595558
MERCH_00000170,18.56,APPROVE,19.047619047619047,25,10,20,30,15,,2026-02-13 04:09:45.651149
MERCH_00000171,34.21,REVIEW,28.57142857142857,25,75,20,20,0,Elevated chargeback rate: 3.24%,2026-02-13 04:09:45.704036
MERCH_00000172,20.15,APPROVE,9.523809523809526,25,10,20,30,50,,2026-02-13 04:09:45.740443
MERCH_00000173,49.56,REVIEW,19.047619047619047,80,95,20,35,25,New business: 59 days; Elevated chargeback rate: 12.60%; No website presence,2026-02-13 04:09:45.788959
MERCH_00000174,44.56,REVIEW,19.047619047619047,80,75,20,35,25,New business: 49 days; Elevated chargeback rate: 3.96%; No website presence,2026-02-13 04:09:45.843017
MERCH_00000175,21.7,APPROVE,4.761904761904761,25,10,20,55,50,No website presence,2026-02-13 04:09:45.893477
MERCH_00000176,28.21,APPROVE,28.57142857142857,80,10,20,25,15,New business: 45 days,2026-02-13 04:09:45.944230
MERCH_00000177,43.7,REVIEW,4.761904761904761,80,75,20,30,50,New business: 30 days; Elevated chargeback rate: 2.54%,2026-02-13 04:09:45.993640
MERCH_00000178,43.46,REVIEW,28.57142857142857,80,75,20,30,0,New business: 75 days; Elevated chargeback rate: 3.78%,2026-02-13 04:09:46.043013
MERCH_00000179,16.65,APPROVE,9.523809523809526,25,10,20,30,15,,2026-02-13 04:09:46.084509
MERCH_00000180,35.0,REVIEW,50.000000000000014,60,30,20,20,25,,2026-02-13 04:09:46.124242
MERCH_00000181,50.32,REVIEW,42.857142857142854,80,75,20,20,50,New business: 54 days; Elevated chargeback rate: 2.77%,2026-02-13 04:09:46.160863
MERCH_00000182,22.31,APPROVE,19.047619047619047,60,10,20,30,0,,2026-02-13 04:09:46.205109
MERCH_00000183,26.95,APPROVE,4.761904761904761,80,10,20,25,50,New business: 59 days,2026-02-13 04:09:46.252763
MERCH_00000184,46.46,REVIEW,28.57142857142857,40,75,20,70,50,Elevated chargeback rate: 2.10%,2026-02-13 04:09:46.305059
MERCH_00000185,52.82,REVIEW,42.857142857142854,40,75,50,45,50,Elevated chargeback rate: 3.01%; No website presence,2026-02-13 04:09:46.353656
MERCH_00000186,39.32,REVIEW,42.857142857142854,40,75,20,20,0,Elevated chargeback rate: 2.62%,2026-02-13 04:09:46.407741
MERCH_00000187,29.21,APPROVE,28.57142857142857,80,10,20,25,25,New business: 30 days,2026-02-13 04:09:46.460950
MERCH_00000188,15.45,APPROVE,4.761904761904761,40,10,20,20,0,,2026-02-13 04:09:46.514969
MERCH_00000189,21.31,APPROVE,19.047619047619047,40,10,20,35,15,No website presence,2026-02-13 04:09:46.569003
MERCH_00000190,15.15,APPROVE,9.523809523809526,25,10,20,30,0,,2026-02-13 04:09:46.617389
MERCH_00000191,20.15,APPROVE,9.523809523809526,25,10,20,30,50,,2026-02-13 04:09:46.665442
MERCH_00000192,40.24,REVIEW,76.19047619047619,60,30,20,45,0,High-risk industry: Gambling; No website presence,2026-02-13 04:09:46.719034
MERCH_00000193,17.25,APPROVE,0.0,25,10,20,20,50,,2026-02-13 04:09:46.770641
MERCH_00000194,29.5,APPROVE,0.0,25,75,20,30,0,Elevated chargeback rate: 4.04%,2026-02-13 04:09:46.822418
MERCH_00000195,18.45,APPROVE,4.761904761904761,60,10,20,20,0,,2026-02-13 04:09:46.870771
MERCH_00000196,34.31,REVIEW,19.047619047619047,25,75,20,40,0,Elevated chargeback rate: 2.33%; No website presence,2026-02-13 04:09:46.920425
MERCH_00000197,36.06,REVIEW,19.047619047619047,40,75,20,20,15,Elevated chargeback rate: 3.20%,2026-02-13 04:09:46.970289
MERCH_00000198,51.99,REVIEW,76.19047619047619,80,75,20,20,0,High-risk industry: Gambling; New business: 49 days; Elevated chargeback rate: 2.77%,2026-02-13 04:09:47.020424
MERCH_00000199,46.82,REVIEW,42.857142857142854,80,75,20,20,15,New business: 43 days; Elevated chargeback rate: 4.68%,2026-02-13 04:09:47.070533
MERCH_00000200,37.56,REVIEW,19.047619047619047,60,75,20,20,0,Elevated chargeback rate: 4.42%,2026-02-13 04:09:47.121791
MERCH_00000201,17.25,APPROVE,0.0,25,10,20,20,50,,2026-02-13 04:09:47.173641
MERCH_00000202,16.0,APPROVE,0.0,40,10,20,20,15,,2026-02-13 04:09:47.228871
MERCH_00000203,35.4,REVIEW,9.523809523809526,60,50,20,30,50,,2026-02-13 04:09:47.281164
MERCH_00000204,19.81,APPROVE,19.047619047619047,40,10,20,35,0,No website presence,2026-02-13 04:09:47.330915
MERCH_00000205,34.31,REVIEW,19.047619047619047,80,50,20,20,0,New business: 84 days,2026-02-13 04:09:47.385942
MERCH_00000206,22.5,APPROVE,0.0,40,30,20,35,15,No website presence,2026-02-13 04:09:47.438616
MERCH_00000207,17.25,APPROVE,0.0,25,10,20,20,50,,2026-02-13 04:09:47.493961
MERCH_00000208,29.49,APPROVE,76.19047619047619,25,10,20,40,0,High-risk industry: Gambling,2026-02-13 04:09:47.542688
MERCH_00000209,21.06,APPROVE,19.047619047619047,25,30,20,20,0,,2026-02-13 04:09:47.596086
MERCH_00000210,39.32,REVIEW,42.857142857142854,40,75,20,20,0,Elevated chargeback rate: 2.27%,2026-02-13 04:09:47.648705
MERCH_00000211,23.81,APPROVE,19.047619047619047,60,10,20,45,0,No website presence,2026-02-13 04:09:47.702724
MERCH_00000212,18.46,APPROVE,28.57142857142857,25,10,20,25,0,,2026-02-13 04:09:47.752558
MERCH_00000213,12.25,APPROVE,0.0,25,10,20,20,0,,2026-02-13 04:09:47.800825
MERCH_00000214,41.95,REVIEW,4.761904761904761,25,75,50,35,50,Elevated chargeback rate: 3.43%,2026-02-13 04:09:47.843750
MERCH_00000215,13.2,APPROVE,4.761904761904761,15,10,20,35,0,No website presence,2026-02-13 04:09:47.891952
MERCH_00000216,27.95,APPROVE,4.761904761904761,80,10,20,35,50,New business: 42 days; No website presence,2026-02-13 04:09:47.937370
MERCH_00000217,26.06,APPROVE,19.047619047619047,15,50,20,20,15,,2026-02-13 04:09:47.987532
MERCH_00000218,26.45,APPROVE,4.761904761904761,40,50,20,30,0,,2026-02-13 04:09:48.037784
MERCH_00000219,32.81,REVIEW,19.047619047619047,60,50,20,35,0,No website presence,2026-02-13 04:09:48.088613
MERCH_00000220,48.0,REVIEW,100.0,15,75,20,30,0,High-risk industry: Cryptocurrency; Elevated chargeback rate: 4.92%,2026-02-13 04:09:48.139241
MERCH_00000221,54.5,REVIEW,100.0,15,95,20,20,25,High-risk industry: Gambling; Elevated chargeback rate: 6.81%,2026-02-13 04:09:48.189519
MERCH_00000222,35.57,REVIEW,42.857142857142854,80,30,20,20,15,New business: 58 days,2026-02-13 04:09:48.243748
